"","np","nRateCat","lnLik","AIC","dAIC","AICwt"
"1",8,1,-688.155690737167,1392.31138147433,222.227609414143,3.07517385422107e-49
"2",7,1,-688.165123607879,1390.33024721576,220.246475155566,8.28070878599689e-49
"3",8,1,-688.165121477616,1392.33024295523,222.246470895041,3.04630901012689e-49
"4",8,1,-688.165121569228,1392.33024313846,222.246471078265,3.04630873104902e-49
"5",6,1,-688.190155048016,1388.38031009603,218.29653803584,2.1952853405564e-48
"6",5,1,-688.213584772151,1386.4271695443,216.343397484111,5.82921480597065e-48
"7",6,1,-688.190155718653,1388.38031143731,218.296539377115,2.19528386831568e-48
"8",24,2,-583.891284436088,1215.78256887218,45.6987968119854,6.61628612967711e-11
"9",23,2,-583.971123046661,1213.94224609332,43.8584740331301,1.66048628353392e-10
"10",22,2,-583.513816040464,1211.02763208093,40.943860020737,7.13075776766402e-10
"11",21,2,-583.110325569291,1208.22065113858,38.1368790783906,2.90177577481115e-09
"12",24,2,-580.176888000593,1208.35377600119,38.2700039409951,2.71491448168343e-09
"13",23,2,-577.125443487609,1200.25088697522,30.1671149150266,1.5605444728522e-07
"14",21,2,-577.171025196367,1196.34205039273,26.2582783325433,1.10171491525769e-06
"15",23,2,-570.707260629589,1187.41452125918,17.3307491989858,9.5643959947442e-05
"16",21,2,-570.846527949426,1183.69305589885,13.6092838386601,0.000614841939982708
"17",18,2,-571.657579930772,1179.31515986154,9.23138780135309,0.00548796748843701
"18",17,2,-570.702645318729,1175.40529063746,5.32151857726672,0.0387640231598805
"19",16,2,-570.705373645338,1173.41074729068,3.32697523048455,0.105084443601861
"20",15,2,-570.705493972822,1171.41098794564,1.32721588545178,0.285614764123071
"21",14,2,-571.041886030096,1170.08377206019,0,0.55460262536187
"22",23,2,-580.1769230243,1206.3538460486,36.2700739884092,7.37964423435652e-09
"23",20,2,-580.079034350988,1200.15806870198,30.0742966417836,1.63467485323279e-07
"24",19,2,-580.096326080667,1198.19265216133,28.1088801011424,4.36733152843437e-07
"25",19,2,-580.095218532591,1198.19043706518,28.1066650049909,4.37217123767552e-07
"26",18,2,-580.108143919741,1196.21628783948,26.1325157792912,1.17321665742224e-06
"27",17,2,-580.109028393816,1194.21805678763,24.13428472744,3.18631406185046e-06
"28",15,2,-580.108206185847,1190.21641237169,20.1326403115031,2.35632192559677e-05
"29",14,2,-580.119418928863,1188.23883785773,18.1550657975345,6.3337289490368e-05
"30",13,2,-580.148301568967,1186.29660313793,16.2128310777427,0.0001672670449926
"31",12,2,-580.515882465249,1185.0317649305,14.9479928703061,0.00031482304239312
"32",11,2,-580.563077744405,1183.12615548881,13.0423834286182,0.000816327344205746
"33",10,2,-580.565742216045,1181.13148443209,11.0477123718983,0.00221310317234516
"34",9,2,-581.344471275318,1180.68894255064,10.6051704904437,0.00276120346225686
"35",13,2,-580.442163728263,1186.88432745653,16.8005553963346,0.000124677380859745
"36",12,2,-580.478316317503,1184.95663263501,14.8728605748138,0.000326874680878638
"37",11,2,-580.86073377073,1183.72146754146,13.637695481269,0.000606169351719782
"38",13,2,-578.833453229891,1183.66690645978,13.5831343995901,0.000622933608785325
"39",12,2,-578.836153959879,1181.67230791976,11.5885358595663,0.0016887421083015
